match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2023-wimbledon-2401,0:00:00,1,0,0,0,1,0,0X,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0,nan,nan,nan
2023-wimbledon-2401,0:00:00,1,0,0,0,1,0,0Y,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0,nan,nan,nan
2023-wimbledon-2401,0:00:00,1,0,0,0,1,0,1,2,1,165,nan,0,15,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22010.0,103,0,0,1,nan,nan,nan,nan,nan,nan,1,0,B,15.187999999999999,17.904,6,BW,NCTL,ND
2023-wimbledon-2401,0:00:31,1,0,0,0,1,0,2,1,1,122,nan,15,15,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22030.0,76,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,4.401,4.317,1,BW,NCTL,D
2023-wimbledon-2401,0:01:34,1,0,0,0,1,0,3,2,1,0,nan,15,30,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11030.0,0,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,16.968,12.744000000000002,4,BC,NCTL,ND
2023-wimbledon-2401,0:02:21,1,0,0,0,1,0,4,1,1,181,nan,30,30,4,4,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14000.0,113,0,0,1,nan,nan,nan,nan,nan,nan,1,S,0,0.862,0.9890000000000001,1,B,NCTL,nan
2023-wimbledon-2401,0:02:45,1,0,0,0,1,0,5,1,1,144,nan,40,30,5,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21020.0,90,0,0,1,nan,nan,nan,nan,nan,nan,1,0,0,48.093999999999994,54.463,13,BC,NCTL,ND
2023-wimbledon-2401,0:03:40,1,1,0,0,1,1,6,1,1,148,nan,0,0,9,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21032.0,92,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,9.216000000000001,9.008,3,BC,CTL,D
2023-wimbledon-2401,0:04:58,1,1,0,0,2,0,7,1,2,0,nan,15,0,10,1,5,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25000.0,0,0,0,2,nan,nan,nan,nan,nan,nan,0,0,0,0.905,1.077,0,BC,CTL,nan
2023-wimbledon-2401,0:05:32,1,1,0,0,2,0,8,1,2,136,nan,30,0,12,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22030.0,85,0,0,2,nan,nan,nan,nan,nan,nan,2,0,0,20.568,23.264,6,BW,CTL,D
2023-wimbledon-2401,0:06:20,1,1,0,0,2,0,9,1,2,0,nan,40,0,13,1,7,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25000.0,0,0,0,2,nan,nan,nan,nan,nan,nan,0,0,0,1.546,2.345,0,B,CTL,nan
2023-wimbledon-2401,0:07:01,1,1,0,0,2,0,10,2,2,173,nan,40,15,13,4,7,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21010.0,108,1,0,2,nan,nan,nan,nan,nan,nan,1,0,F,7.997000000000001,8.977,3,BW,NCTL,ND
2023-wimbledon-2401,0:07:30,1,1,0,0,2,0,11,2,2,135,nan,40,30,11,5,7,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12020.0,84,1,0,2,nan,nan,nan,nan,nan,nan,2,0,0,25.695,19.649,3,W,CTL,D
2023-wimbledon-2401,0:08:14,1,1,0,0,2,0,12,2,2,160,nan,40,40,10,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11030.0,100,1,0,2,nan,nan,nan,nan,nan,nan,1,0,0,8.446,9.474,1,C,NCTL,D
2023-wimbledon-2401,0:08:40,1,1,0,0,2,0,13,2,2,170,nan,40,AD,9,9,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12030.0,106,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,5.312,5.98,1,B,CTL,ND
2023-wimbledon-2401,0:09:07,1,1,1,0,2,2,14,2,2,162,nan,0,0,8,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11032.0,101,0,0,1,nan,nan,nan,nan,nan,nan,1,0,0,22.249000000000002,14.302999999999999,5,C,NCTL,D
2023-wimbledon-2401,0:09:53,1,1,1,0,3,0,15,1,1,131,nan,15,0,9,11,8,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22020.0,82,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,4.043,3.3489999999999998,1,B,CTL,ND
2023-wimbledon-2401,0:10:37,1,1,1,0,3,0,16,1,1,185,nan,30,0,11,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22030.0,115,0,0,1,nan,nan,nan,nan,nan,nan,1,0,0,4.336,4.393,1,W,CTL,D
