Feature,Split Importance
x1,543
x2,332
x3,82
x4,658
x5,113
x6,185
x7,82
x8,193
x9,426
x10,179
x11,2324
x12,1334
x13,1016
x14,1159
x15,270
x16,190
x17,1030
x18,1291
x19,1431
