match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2023-wimbledon-1403,0:00:00,1,0,0,0,1,0,0X,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0,nan,nan,nan
2023-wimbledon-1403,0:00:00,1,0,0,0,1,0,0Y,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0,nan,nan,nan
2023-wimbledon-1403,0:00:00,1,0,0,0,1,0,1,2,2,180,nan,0,15,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12030.0,112,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,15.999,18.557000000000002,3,W,CTL,ND
2023-wimbledon-1403,0:00:26,1,0,0,0,1,0,2,1,2,160,nan,15,15,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22020.0,100,0,0,2,nan,nan,nan,nan,nan,nan,2,0,0,26.087,22.570999999999998,6,B,NCTL,ND
2023-wimbledon-1403,0:01:10,1,0,0,0,1,0,3,2,2,175,nan,15,30,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12030.0,109,0,0,2,nan,nan,nan,nan,nan,nan,2,0,0,4.538,5.212999999999999,1,B,CTL,D
2023-wimbledon-1403,0:01:42,1,0,0,0,1,0,4,1,2,199,nan,30,30,4,3,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12010.0,124,0,0,2,nan,nan,nan,nan,nan,nan,1,0,B,6.779,7.981,2,W,CTL,ND
2023-wimbledon-1403,0:02:05,1,0,0,0,1,0,5,1,2,0,nan,40,30,5,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25000.0,0,0,0,2,nan,nan,nan,nan,nan,nan,0,0,0,1.038,0.961,0,W,CTL,nan
2023-wimbledon-1403,0:02:34,1,0,0,0,1,0,6,2,2,204,nan,40,40,5,4,3,3,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22410.0,127,1,0,2,nan,nan,nan,nan,nan,nan,1,0,B,9.169,15.126,3,BW,NCTL,nan
2023-wimbledon-1403,0:02:58,1,0,0,0,1,0,7,1,2,204,nan,AD,40,6,2,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22020.0,127,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,42.78,43.622,10,B,NCTL,ND
2023-wimbledon-1403,0:03:37,1,1,0,0,1,1,8,1,2,212,nan,0,0,12,1,5,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21021.0,132,1,0,1,nan,nan,nan,nan,nan,nan,1,0,0,7.379,8.472999999999999,2,C,NCTL,ND
2023-wimbledon-1403,0:04:40,1,1,0,0,2,0,9,2,1,164,nan,0,15,10,2,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12020.0,102,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,17.583,28.239,6,B,NCTL,ND
2023-wimbledon-1403,0:05:14,1,1,0,0,2,0,10,1,1,167,nan,15,15,12,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21030.0,104,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,3.202,4.835,1,C,NCTL,D
2023-wimbledon-1403,0:05:45,1,1,0,0,2,0,11,2,1,154,nan,15,30,11,3,6,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12030.0,96,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,16.809,17.128,4,BW,NCTL,D
2023-wimbledon-1403,0:06:18,1,1,0,0,2,0,12,1,1,199,nan,30,30,13,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22030.0,124,0,0,1,nan,nan,nan,nan,nan,nan,1,0,0,11.254000000000001,16.566,5,C,NCTL,D
2023-wimbledon-1403,0:06:47,1,1,0,0,2,0,13,1,1,156,nan,40,30,14,1,8,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21020.0,97,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,17.674,16.704,5,B,NCTL,D
2023-wimbledon-1403,0:07:23,1,2,0,0,2,1,14,1,1,191,nan,0,0,17,1,9,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21022.0,119,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,9.914,12.933,3,C,NCTL,D
2023-wimbledon-1403,0:07:57,1,2,0,0,3,0,15,2,2,185,nan,0,15,16,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11030.0,115,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,4.853,6.082000000000001,1,W,CTL,nan
2023-wimbledon-1403,0:08:18,1,2,0,0,3,0,16,2,2,206,nan,0,30,16,6,9,7,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22410.0,128,0,0,2,nan,nan,nan,nan,nan,nan,1,0,B,13.472000000000001,12.787,3,W,CTL,ND
