match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2023-wimbledon-2216,0:00:00,1,0,0,0,1,0,0X,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0,nan,nan,nan
2023-wimbledon-2216,0:00:00,1,0,0,0,1,0,0Y,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0,nan,nan,nan
2023-wimbledon-2216,0:00:00,1,0,0,0,1,0,1,2,2,185,nan,0,15,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23000.0,115,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,1.156,1.073,1,C,NCTL,nan
2023-wimbledon-2216,0:00:19,1,0,0,0,1,0,2,2,2,148,nan,0,30,1,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11020.0,92,0,0,2,nan,nan,nan,nan,nan,nan,2,0,0,7.093999999999999,5.361000000000001,1,B,NCTL,D
2023-wimbledon-2216,0:00:49,1,0,0,0,1,0,3,1,2,162,nan,15,30,4,5,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11010.0,101,0,0,2,nan,nan,nan,nan,nan,nan,2,0,F,17.174,14.11,4,BC,NCTL,ND
2023-wimbledon-2216,0:01:23,1,0,0,0,1,0,4,2,2,185,nan,15,40,3,7,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12030.0,115,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,31.861,28.683000000000003,7,C,NCTL,D
2023-wimbledon-2216,0:01:55,1,0,1,0,1,2,5,2,2,175,nan,0,0,3,12,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24002.0,109,0,0,1,nan,nan,nan,nan,nan,nan,1,S,0,0.9990000000000001,0.498,1,BC,CTL,nan
2023-wimbledon-2216,0:02:47,1,0,1,0,2,0,6,1,1,154,nan,15,0,5,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22030.0,96,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,4.238,2.8,1,B,CTL,nan
2023-wimbledon-2216,0:03:32,1,0,1,0,2,0,7,1,1,140,nan,30,0,6,9,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22020.0,87,0,0,1,nan,nan,nan,nan,nan,nan,1,0,0,7.341,11.618,3,B,NCTL,D
2023-wimbledon-2216,0:03:58,1,0,1,0,2,0,8,1,1,152,nan,40,0,8,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22030.0,95,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,7.412000000000001,8.982000000000001,3,C,NCTL,D
2023-wimbledon-2216,0:04:35,1,0,1,0,2,0,9,2,1,140,nan,40,15,6,9,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12020.0,87,0,0,1,nan,nan,nan,nan,nan,nan,1,0,0,8.804,9.087,2,W,CTL,ND
2023-wimbledon-2216,0:05:00,1,1,1,0,2,1,10,1,1,149,nan,0,0,9,7,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22022.0,93,0,0,2,nan,nan,nan,nan,nan,nan,2,0,0,10.39,17.339000000000002,3,W,NCTL,ND
2023-wimbledon-2216,0:05:49,1,1,1,0,3,0,11,2,2,160,nan,0,15,8,9,5,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12030.0,100,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,10.232999999999999,10.981,1,W,CTL,D
2023-wimbledon-2216,0:06:07,1,1,1,0,3,0,12,1,2,172,nan,15,15,9,7,6,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21020.0,107,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,21.506,10.380999999999998,2,C,NCTL,ND
2023-wimbledon-2216,0:06:30,1,1,1,0,3,0,13,1,2,0,nan,30,15,10,3,7,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25000.0,0,0,0,2,nan,nan,nan,nan,nan,nan,0,0,0,1.685,2.189,0,BC,CTL,nan
2023-wimbledon-2216,0:06:57,1,1,1,0,3,0,14,1,2,0,nan,40,15,11,1,8,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25000.0,0,0,0,2,nan,nan,nan,nan,nan,nan,0,0,0,9.388,8.004,0,B,CTL,D
2023-wimbledon-2216,0:07:31,1,1,1,0,3,0,15,2,2,148,nan,40,30,11,4,8,7,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21010.0,92,1,0,2,nan,nan,nan,nan,nan,nan,2,0,F,43.63399999999999,28.693,9,BC,NCTL,D
2023-wimbledon-2216,0:08:18,1,1,1,0,3,0,16,2,2,177,nan,40,40,10,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11030.0,110,1,0,2,nan,nan,nan,nan,nan,nan,1,0,0,31.914,18.575,5,C,NCTL,ND
2023-wimbledon-2216,0:09:06,1,1,1,0,3,0,17,2,2,188,nan,40,AD,9,8,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11030.0,117,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,2.9410000000000003,1.71,1,C,NCTL,ND
