match_id,ElapsedTime,SetNo,P1GamesWon,P2GamesWon,SetWinner,GameNo,GameWinner,PointNumber,PointWinner,PointServer,Speed_KMH,Rally,P1Score,P2Score,P1Momentum,P2Momentum,P1PointsWon,P2PointsWon,P1Ace,P2Ace,P1Winner,P2Winner,P1DoubleFault,P2DoubleFault,P1UnfErr,P2UnfErr,P1NetPoint,P2NetPoint,P1NetPointWon,P2NetPointWon,P1BreakPoint,P2BreakPoint,P1BreakPointWon,P2BreakPointWon,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,Speed_MPH,P1BreakPointMissed,P2BreakPointMissed,ServeIndicator,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,ServeNumber,WinnerType,WinnerShotType,P1DistanceRun,P2DistanceRun,RallyCount,ServeWidth,ServeDepth,ReturnDepth
2023-wimbledon-2601,0:00:00,1,0,0,0,1,0,0X,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0,nan,nan,nan
2023-wimbledon-2601,0:00:00,1,0,0,0,1,0,0Y,0,0,0,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0.0,0.0,0,nan,nan,nan
2023-wimbledon-2601,0:00:00,1,0,0,0,1,0,1,1,1,130,nan,15,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21020.0,81,0,0,1,nan,nan,nan,nan,nan,nan,2,0,0,12.337,12.005,3,BW,NCTL,ND
2023-wimbledon-2601,0:00:37,1,0,0,0,1,0,2,1,1,160,nan,30,0,4,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12010.0,100,0,0,1,nan,nan,nan,nan,nan,nan,1,0,B,38.013000000000005,45.287,11,C,NCTL,ND
2023-wimbledon-2601,0:01:14,1,0,0,0,1,0,3,2,1,172,nan,30,15,4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22010.0,107,0,0,1,nan,nan,nan,nan,nan,nan,1,0,B,19.604,13.458,4,C,NCTL,ND
2023-wimbledon-2601,0:01:44,1,0,0,0,1,0,4,1,1,167,nan,40,15,6,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22030.0,104,0,0,1,nan,nan,nan,nan,nan,nan,1,0,0,24.212,25.311999999999998,5,W,NCTL,ND
2023-wimbledon-2601,0:02:13,1,1,0,0,1,1,5,1,1,152,nan,0,0,10,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22032.0,95,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,2.532,3.263,1,W,CTL,ND
2023-wimbledon-2601,0:02:57,1,1,0,0,2,0,6,2,2,168,nan,0,15,10,5,4,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21410.0,105,0,0,2,nan,nan,nan,nan,nan,nan,1,0,F,14.102,13.715,5,BC,NCTL,ND
2023-wimbledon-2601,0:03:18,1,1,0,0,2,0,7,2,2,148,nan,0,30,10,9,4,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23000.0,92,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,1.24,0.743,1,W,CTL,nan
2023-wimbledon-2601,0:03:34,1,1,0,0,2,0,8,1,2,138,nan,15,30,13,9,5,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11010.0,86,0,0,2,nan,nan,nan,nan,nan,nan,2,0,F,15.876,17.617,6,BW,NCTL,ND
2023-wimbledon-2601,0:04:08,1,1,0,0,2,0,9,2,2,162,nan,15,40,12,11,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11030.0,101,0,0,2,nan,nan,nan,nan,nan,nan,1,0,0,31.218000000000004,26.421999999999997,5,BW,NCTL,ND
2023-wimbledon-2601,0:04:57,1,1,1,0,2,2,10,2,2,181,nan,0,0,11,15,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,11032.0,113,0,0,1,nan,nan,nan,nan,nan,nan,1,0,0,24.381999999999998,23.153000000000002,7,C,NCTL,ND
2023-wimbledon-2601,0:05:38,1,1,1,0,3,0,11,1,1,130,nan,15,0,14,15,6,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12410.0,81,0,0,1,nan,nan,nan,nan,nan,nan,2,0,B,17.262,21.037,5,B,NCTL,ND
