,0
0,77.8345579047578
1,77.76303562758453
2,77.26152053553172
3,77.25211469481468
4,77.39083800008741
5,77.40391913338921
6,77.5205428491462
7,77.60347859117749
8,77.65042964204139
9,77.75185854193663
10,77.87406165585587
11,78.08088609431208
12,78.21346746005291
13,78.50141691692349
14,78.53503315856456
15,78.71865949380286
16,79.44513405514765
17,81.26697594531828
18,81.5273266004019
19,82.92875590259162
20,85.4169806564945
21,85.63786857323001
22,88.56173118898958
23,89.9031471414304
24,91.9431304737933
25,93.36474731797097
26,93.77133342951142
27,93.77934974457057
28,93.78537925436537
29,93.76179689570523
30,94.1636898634286
31,95.16264405338916
32,96.15833867435289
33,98.12852944363377
34,98.34647125847503
35,97.36565817553972
36,96.85595705305184
37,96.84769965441271
38,96.6566247055998
39,96.42529958066335
40,96.15463687383718
41,96.1522335149965
42,96.18651305490951
43,96.30297634511274
44,96.58989251553685
45,96.62863143355494
46,97.27117001384951
47,97.28875232817123
48,97.20474036251898
49,97.04102508851993
50,97.02517879369084
51,97.15237493419228
52,97.52674627801761
53,98.63938452487318
54,100.67347777309436
55,103.0585600349682
56,105.72326497541104
57,105.73526256058608
58,106.00783468822767
59,106.06404412660312
60,106.13830407233384
61,104.15439861438865
62,104.05719802417548
63,102.95096980855848
64,100.74698738432102
65,100.17994031366251
66,97.18321307573666
67,90.83806324671448
68,89.68316053603759
69,89.33829454523678
70,89.06657775465249
71,88.85096407553725
72,88.40133500416424
73,86.62662998264135
74,86.58104857596908
75,85.78499932384416
76,85.9583592462931
77,86.26712480477798
78,86.48403987060965
79,86.67988911378463
80,88.58972531118107
81,95.18212852020339
82,98.08846216368573
83,98.17619374114453
84,101.77304742902109
85,103.88140316721721
86,105.07015154595396
87,110.21738742348313
88,113.30264420653472
89,114.48593981184077
90,106.78619802672192
91,78.33977518242064
92,78.02813228254465
93,74.24719376346394
94,26.757199224343843
95,26.757381009417685
96,26.830491856130024
97,26.94935648312176
98,27.0816994024664
99,27.858973954179497
100,27.950116843905864
101,27.830119239646002
102,26.617191354395338
103,26.528367121561292
104,26.289182499462573
105,26.00632392007032
106,25.239642753617215
107,25.12806648655697
108,24.73914444044418
109,25.633462399138867
110,23.413412798647236
111,22.82846202467595
112,25.406052673891082
113,24.395532172858665
114,23.20561255669852
115,23.98120616171475
116,24.184486920474715
117,24.614514841848003
118,24.842224434314996
119,25.48398652721557
120,26.794064030115504
121,27.07007233280626
122,27.07244085955308
123,26.84510257385878
124,28.046769600475255
125,28.39523446762967
126,27.385703929751074
127,25.51527121478486
128,25.52613449726095
129,25.538581079111346
130,25.088111376820898
131,24.522867756448367
132,24.197433774220727
133,23.029162675723942
134,21.091393048699082
135,19.506362455581147
136,12.355036790497959
137,-14.585386288564807
138,-14.779709022597238
139,20.798653989379826
140,21.166231643452832
141,45.34366605301736
142,53.564892961217964
143,55.42381598813741
144,85.70652792291334
145,103.55268390668056
146,140.8992900011013
147,141.35513815379866
148,175.9483303186992
149,191.6982398887203
150,195.40885639481408
151,197.9391269737377
152,197.97839301343961
153,199.08949013894053
154,200.43222690037018
155,200.82739934289873
156,201.33641239229414
157,209.80613988516848
158,211.49692546483928
159,213.35908804008002
160,213.53031553214137
161,219.3940760268528
162,220.8402352422626
163,221.6663544663259
164,222.03146623666436
165,218.96225118940004
166,212.614426778391
167,217.34587779616035
168,217.9324588966012
169,219.627874071264
170,220.3164506698266
171,221.95222645005512
172,221.70152750681825
173,218.6814705462484
174,213.6998604973434
175,201.4118461910154
176,198.72150785360816
177,196.41650508410697
178,196.3551058835782
179,195.7685801698747
180,192.58844730768342
181,191.98519531086546
182,191.7002452086647
183,191.49949363818405
184,190.82488856201905
185,190.75841978535288
186,188.47159313054232
187,188.1044016782328
188,187.78295035519267
189,187.77362991368645
190,187.57542645603164
191,188.8255788377709
192,189.4864565784005
193,190.4409086313271
194,198.84748515132083
195,199.40556014149297
196,202.73137068807065
197,204.3777476113968
198,204.9317687332488
199,205.09020154221463
200,209.4904990753551
201,210.40109578854165
202,211.21482947956306
203,222.39298360326544
204,226.3517682189697
205,230.06380824137054
206,232.82894725486298
207,234.67102673437353
208,240.5153850370562
209,241.5329135073706
210,245.37947973320414
211,246.46164058701171
212,248.7917231983127
213,249.06231123179253
214,249.29135391926928
215,250.9153186538441
216,252.65574060238762
217,253.7900502499902
218,253.99729443458224
219,255.81478262479317
220,259.151245685262
221,261.7838948707836
222,262.14684246614763
223,262.41404941190984
224,262.5412979115925
225,263.1602444512775
226,265.26102602233635
227,265.35740282391026
228,265.44274627533053
229,266.0457768640735
230,266.92461949460005
231,267.23615399921823
232,269.66757774488747
233,269.75379081916975
